M,S,Tirr,L,Tphot,Rphot,Pphot,Tdm,Prcb
29.0,3.0,288.0,1.882583391705121e+20,289.11851045225995,4.958500095129871,0.0011020348848841,1.2495273502534557e+30,2158.28723696752
29.0,3.0,912.0,1.566537030855835e+20,914.2721487440662,5.459067491376424,0.0007477512836267,0.0,0.0
29.0,3.05,288.0,2.2000688650709697e+20,289.1185556560796,4.965810755946004,0.001098482900126,1.1140582055587948e+30,1892.8802331158065
29.0,3.05,912.0,1.870361963694422e+20,914.2721498812908,5.464058439061436,0.0007463929157846,0.0,0.0
29.0,3.1,288.0,2.7001049394774698e+20,289.1186281169424,4.965214230867746,0.001098771706591,9.64039412858154e+29,1620.2270724281043
29.0,3.1,912.0,2.150533249587884e+20,914.272150925427,5.46932047058682,0.0007449634494379,0.0,0.0
29.0,3.1499999999999995,288.0,3.098828340598964e+20,289.1186847789698,4.970547723906196,0.0010961976013934,8.805979667214453e+29,1473.6031054949308
29.0,3.1499999999999995,912.0,2.5342444549631925e+20,914.2721523676142,5.47088299531428,0.0007445397356337,0.0,0.0
29.0,3.1999999999999997,288.0,3.484269280344757e+20,289.1187393197677,4.976315160766754,0.0010934199351765,8.102658347259703e+29,1343.8684112113756
29.0,3.1999999999999997,912.0,2.877558882006188e+20,914.2721536480948,5.47402167291729,0.0007436918052892,0.0,0.0
29.0,3.249999999999999,288.0,3.840720052623619e+20,289.1187891711596,4.982619590065801,0.0010904030737246,7.737764370117953e+29,1251.4335238279746
29.0,3.249999999999999,912.0,3.1740084306762046e+20,914.2721547425864,5.478955513060971,0.0007423597283358,0.0,0.0
29.0,3.299999999999999,288.0,4.19717082490248e+20,289.1188390225514,4.988924019364847,0.0010873862122727,7.372870392976204e+29,1158.998636444573
29.0,3.299999999999999,912.0,3.4716300808908014e+20,914.2721558388728,5.483938304305361,0.0007410166464477,0.0,0.0
29.0,3.3499999999999988,288.0,4.541255564286911e+20,289.11888721971764,4.992956254642159,0.0010854697797498,7.020847920744679e+29,1089.837843208774
29.0,3.3499999999999988,912.0,3.773217095636591e+20,914.2721569412312,5.489086703179407,0.0007396363335039,0.0,0.0
29.0,3.3999999999999986,288.0,4.883017901624068e+20,289.1189351062121,4.99656176066095,0.0010837600132143,6.671242780701267e+29,1025.048039793094
29.0,3.3999999999999986,912.0,4.0748041103823805e+20,914.27215804359,5.494235102053453,0.0007382560205602,0.0,0.0
29.0,3.4499999999999984,288.0,5.224780238961225e+20,289.1189829927066,5.000167266679742,0.0010820502466787,6.3216376406578544e+29,960.2582363774138
29.0,3.4499999999999984,912.0,4.373542101311005e+20,914.2721591255006,5.500009415212176,0.0007367154721071,0.0,0.0
29.0,3.4999999999999982,288.0,5.609134113931605e+20,289.1190359710368,5.005453742939396,0.0010795649760934,6.025552999138077e+29,916.2162140537172
29.0,3.4999999999999982,912.0,4.6681356452144605e+20,914.272160177666,5.506694239746589,0.0007349418306289,0.0,0.0
29.0,3.549999999999998,288.0,6.009207346853016e+20,289.11909082862263,5.011360618799286,0.001076793488423,5.749221292608711e+29,879.8316236002464
29.0,3.549999999999998,912.0,4.962729189117915e+20,914.2721612298312,5.513379064281002,0.0007331681891508,0.0,0.0
29.0,3.599999999999998,288.0,6.409280579774427e+20,289.11914568620847,5.017267494659178,0.0010740220007527,5.472889586079345e+29,843.4470331467755
29.0,3.599999999999998,912.0,5.257322733021371e+20,914.2721622819964,5.520063888815415,0.0007313945476726,0.0,0.0
29.0,3.6499999999999977,288.0,6.81599459609293e+20,289.1192009512941,5.023474051300088,0.0010711299133701,5.246753681016431e+29,807.4061956094172
29.0,3.6499999999999977,912.0,5.619622070167378e+20,914.2721635671494,5.526867152672411,0.0007296080591756,0.0,0.0
29.0,3.6499999999999977,1442.0,1.493850508049022e+20,1445.5911874255312,6.061497780499767,0.0014205143802289,0.0,0.0
29.0,3.6999999999999975,288.0,7.23234585901594e+20,289.1192568077521,5.030115511086698,0.0010680628091111,5.093462994403975e+29,771.8642196408681
29.0,3.6999999999999975,912.0,5.999089338090328e+20,914.27216491138,5.533700448790961,0.0007278183131032,0.0,0.0
29.0,3.6999999999999975,1442.0,1.879406875004187e+20,1445.5911877206922,6.070697146078275,0.0014189993418477,0.0,0.0
29.0,3.749999999999997,288.0,7.648697121938953e+20,289.11931266421016,5.036756970873308,0.0010649957048521,4.940172307791518e+29,736.322243672319
29.0,3.749999999999997,912.0,6.378556606013277e+20,914.2721662556108,5.540533744909512,0.0007260285670307,0.0,0.0
29.0,3.749999999999997,1442.0,2.273793424209405e+20,1445.591188021544,6.078600529582493,0.0014177023754271,0.0,0.0
29.0,3.799999999999997,288.0,8.065048384861965e+20,289.1193685206682,5.043398430659917,0.0010619286005931,4.786881621179062e+29,700.7802677037699
29.0,3.799999999999997,912.0,6.744424487134922e+20,914.2721675410754,5.547476025483828,0.0007242191097502,0.0,0.0
29.0,3.799999999999997,1442.0,2.660665594623061e+20,1445.591188313592,6.088935093098535,0.0014160110202585,0.0,0.0
29.0,3.849999999999997,288.0,8.481622306698663e+20,289.1194243308151,5.049203883643585,0.0010592626661093,4.647196348617e+29,671.1809820679107
29.0,3.849999999999997,912.0,7.077767849965172e+20,914.2721686859936,5.554678955084225,0.0007223625108186,0.0,0.0
29.0,3.849999999999997,1442.0,3.0192429719675155e+20,1445.5911885837163,6.096350236974841,0.0014148021240057,0.0,0.0
29.0,3.899999999999997,288.0,8.898507197446159e+20,289.1194800762832,5.053841756490334,0.0010571570115892,4.526512609468194e+29,649.8813504156038
29.0,3.899999999999997,912.0,7.411111212795422e+20,914.2721698309116,5.561881884684621,0.0007205059118869,0.0,0.0
29.0,3.899999999999997,1442.0,3.372462574160794e+20,1445.5911888496894,6.10321257263787,0.00141368458401,0.0,0.0
29.0,3.9499999999999966,288.0,9.315392088193654e+20,289.11953582175124,5.058479629337081,0.001055051357069,4.405828870319388e+29,628.581718763297
29.0,3.9499999999999966,912.0,7.744454575625672e+20,914.27217097583,5.569084814285018,0.0007186493129553,0.0,0.0
29.0,3.9499999999999966,1442.0,3.732064928161389e+20,1445.5911891160176,6.112120639787984,0.001412242210632,0.0,0.0
29.0,3.999999999999997,288.0,9.732276978941149e+20,289.1195915672193,5.06311750218383,0.0010529457025489,4.285145131170582e+29,607.28208711099
29.0,3.999999999999997,912.0,8.077797938455923e+20,914.272172120748,5.576287743885415,0.0007167927140236,0.0,0.0
29.0,3.999999999999997,1442.0,4.092267505882298e+20,1445.5911893823795,6.121221084238831,0.001410769290445,0.0,0.0
29.0,4.049999999999996,288.0,1.0149161869688645e+21,289.11964731268733,5.067755375030578,0.0010508400480287,4.164461392021776e+29,585.9824554586831
29.0,4.049999999999996,912.0,8.426295188339777e+20,914.272173302489,5.584077762204794,0.0007148011071384,0.0,0.0
29.0,4.049999999999996,1442.0,4.4765465306436416e+20,1445.5911896657915,6.129511622779572,0.0014094324481102,0.0,0.0
29.0,4.099999999999996,288.0,1.0600716054522276e+21,289.11970682879,5.0731687725511065,0.001048406648376,4.049794799156133e+29,566.0102245147975
29.0,4.099999999999996,912.0,8.808460692499332e+20,914.2721745660408,5.593172148981137,0.0007125095453905,0.0,0.0
29.0,4.099999999999996,1442.0,4.880342033953442e+20,1445.5911899630248,6.137145647869871,0.0014082059111075,0.0,0.0
29.0,4.149999999999996,288.0,1.1097252984217396e+21,289.1197712372188,5.079588398477895,0.0010455480056928,3.942935338312773e+29,547.7602705589438
29.0,4.149999999999996,912.0,9.190626196658888e+20,914.2721758295928,5.60226653575748,0.0007102179836426,0.0,0.0
29.0,4.149999999999996,1442.0,5.284137537263242e+20,1445.591190260258,6.14477967296017,0.0014069793741048,0.0,0.0
29.0,4.199999999999996,288.0,1.1593789913912516e+21,289.1198356456476,5.086008024404683,0.0010426893630097,3.836075877469412e+29,529.5103166030901
29.0,4.199999999999996,912.0,9.572791700818442e+20,914.2721770931444,5.611360922533823,0.0007079264218947,0.0,0.0
29.0,4.199999999999996,1442.0,5.732616606086762e+20,1445.5911905795542,6.157183843029726,0.001405005482611,0.0,0.0
29.0,4.199999999999996,2039.0,1.2887951560819007e+20,2044.3746615755335,6.449721148086627,0.0326186103053216,0.0,0.0
29.0,4.249999999999996,288.0,1.2090326843607637e+21,289.1199000540764,5.092427650331471,0.0010398307203265,3.7292164166260526e+29,511.2603626472365
29.0,4.249999999999996,912.0,9.954957204977998e+20,914.2721783566964,5.620455309310166,0.0007056348601468,0.0,0.0
29.0,4.249999999999996,1442.0,6.185042833892649e+20,1445.5911909007991,6.17000938772294,0.0014029655729524,0.0,0.0
29.0,4.249999999999996,2039.0,1.8065046101475888e+20,2044.374661699915,6.458909191612777,0.0325274109564216,0.0,0.0
29.0,4.299999999999995,288.0,1.2586863773302758e+21,289.11996446250515,5.09884727625826,0.0010369720776433,3.622356955782693e+29,493.0104086913829
29.0,4.299999999999995,912.0,1.0337122709137554e+21,914.2721796202482,5.629549696086508,0.0007033432983989,0.0,0.0
29.0,4.299999999999995,1442.0,6.637469061698535e+20,1445.5911912220445,6.182834932416155,0.0014009256632937,0.0,0.0
29.0,4.299999999999995,2039.0,2.320646663086069e+20,2044.3746618226096,6.468167997308107,0.032436006574366,0.0,0.0
29.0,4.349999999999995,288.0,1.3095374531656653e+21,289.12002987815623,5.105545548704533,0.0010340083539559,3.527100900148333e+29,476.4479359905524
29.0,4.349999999999995,912.0,1.080579951413314e+21,914.272181140154,5.639103201029275,0.0007009920623683,0.0,0.0
29.0,4.349999999999995,1442.0,7.137069046145598e+20,1445.5911915768393,6.1921092142597445,0.0013994675029634,0.0,0.0
29.0,4.349999999999995,2039.0,2.8236420628394128e+20,2044.3746619409808,6.482513031672769,0.0322949437576282,0.0,0.0
29.0,4.399999999999995,288.0,1.3649826245197486e+21,289.1200991582984,5.113312926750143,0.0010306414574953,3.476364566143024e+29,466.3599588687951
29.0,4.399999999999995,912.0,1.1286746549725563e+21,914.2721826964192,5.648721824467763,0.0006986323625046,0.0,0.0
29.0,4.399999999999995,1442.0,7.637590799255085e+20,1445.5911919322896,6.201314104919763,0.0013980207099342,0.0,0.0
29.0,4.399999999999995,2039.0,3.363897279380483e+20,2044.374662067674,6.495130623628566,0.0321716217909373,0.0,0.0
29.0,4.449999999999995,288.0,1.4204277958738318e+21,289.12016843844054,5.121080304795754,0.0010272745610346,3.425628232137715e+29,456.2719817470378
29.0,4.449999999999995,912.0,1.1767693585317988e+21,914.2721842526848,5.65834044790625,0.000696272662641,0.0,0.0
29.0,4.449999999999995,1442.0,8.138112552364573e+20,1445.59119228774,6.210518995579782,0.001396573916905,0.0,0.0
29.0,4.449999999999995,2039.0,3.952018993108491e+20,2044.374662205932,6.503207889259292,0.0320931034368729,0.0,0.0
29.0,4.499999999999995,288.0,1.475872967227915e+21,289.1202377185827,5.128847682841364,0.0010239076645739,3.374891898132406e+29,446.18400462528064
29.0,4.499999999999995,912.0,1.2248640620910412e+21,914.27218580895,5.667959071344737,0.0006939129627774,0.0,0.0
29.0,4.499999999999995,1442.0,8.661792242137385e+20,1445.5911926507872,6.221503181853036,0.0013948636249448,0.0,0.0
29.0,4.499999999999995,2039.0,4.541398446930024e+20,2044.374662343355,6.51254445115535,0.0320027731563203,0.0,0.0
29.0,4.5499999999999945,288.0,1.5313181385819984e+21,289.12030699872486,5.136615060886975,0.0010205407681132,3.324155564127097e+29,436.0960275035234
29.0,4.5499999999999945,912.0,1.2729587656502836e+21,914.2721873652156,5.677577694783223,0.0006915532629137,0.0,0.0
29.0,4.5499999999999945,1442.0,9.197336579421924e+20,1445.5911930177265,6.233398965544365,0.0013930183329636,0.0,0.0
29.0,4.5499999999999945,2039.0,5.128224266116801e+20,2044.3746624789785,6.523554933932557,0.0318965631411251,0.0,0.0
29.0,4.599999999999994,288.0,1.5867633099360816e+21,289.12037627886707,5.144382438932586,0.0010171738716526,3.273419230121788e+29,426.0080503817661
29.0,4.599999999999994,912.0,1.3243821031914335e+21,914.2721889799524,5.688596759494522,0.0006888975490309,0.0,0.0
29.0,4.599999999999994,1442.0,9.73288091670646e+20,1445.5911933846658,6.2452947492356925,0.0013911730409824,0.0,0.0
29.0,4.599999999999994,2039.0,5.7525884654539e+20,2044.3746626223056,6.534400781919064,0.0317926091689196,0.0,0.0
29.0,4.649999999999994,288.0,1.645080408454169e+21,289.12044811991865,5.15246274799081,0.0010137158605615,3.211697861242369e+29,417.4734802646852
29.0,4.649999999999994,912.0,1.3794435107440044e+21,914.272190658596,5.701146453113975,0.0006859183031132,0.0,0.0
29.0,4.649999999999994,1442.0,1.0268425253990996e+21,1445.591193751605,6.257190532927021,0.0013893277490012,0.0,0.0
29.0,4.649999999999994,2039.0,6.394743052630806e+20,2044.374662769284,6.545168605314028,0.0316897243925507,0.0,0.0
29.0,4.699999999999994,288.0,1.708643280844184e+21,289.1205246386487,5.16111464721687,0.0010100914222874,3.1299115653525884e+29,411.7763156290994
29.0,4.699999999999994,912.0,1.434504918296575e+21,914.2721923372396,5.713696146733428,0.0006829390571954,0.0,0.0
29.0,4.699999999999994,1442.0,1.0870175113961971e+21,1445.5911941519444,6.270865364109837,0.0013872369609697,0.0,0.0
29.0,4.699999999999994,2039.0,7.058905636110748e+20,2044.3746629184704,6.558655396896177,0.031562037820281,0.0,0.0
29.0,4.749999999999994,288.0,1.772206153234199e+21,289.1206011573788,5.16976654644293,0.0010064669840134,3.0481252694628078e+29,406.0791509935136
29.0,4.749999999999994,912.0,1.4895663258491455e+21,914.2721940158837,5.72624584035288,0.0006799598112776,0.0,0.0
29.0,4.749999999999994,1442.0,1.149026411619373e+21,1445.5911945615355,6.28503299715738,0.0013850781697443,0.0,0.0
29.0,4.749999999999994,2039.0,7.737227232140727e+20,2044.3746630690764,6.573891457432913,0.031418394823147,0.0,0.0
